,M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M5(t=0),M5(t=1),M5(t=2),M5(t=3),M5(t=4),M5(t=5),M5(t=6),M5(t=7),M5(t=8),M5(t=9),M5(t=10),M5(t=11),M5(t=12),M5(t=13),M5(t=14),M5(t=15),M5(t=16),M5(t=17),M5(t=18),M6(t=0),M6(t=1),M6(t=2),M6(t=3),M6(t=4),M6(t=5),M6(t=6),M6(t=7),M6(t=8),M6(t=9),M6(t=10),M6(t=11),M6(t=12),M6(t=13),M6(t=14),M6(t=15),M6(t=16),M6(t=17),M6(t=18),M7(t=0),M7(t=1),M7(t=2),M7(t=3),M7(t=4),M7(t=5),M7(t=6),M7(t=7),M7(t=8),M7(t=9),M7(t=10),M7(t=11),M7(t=12),M7(t=13),M7(t=14),M7(t=15),M7(t=16),M7(t=17),M7(t=18),M8(t=0),M8(t=1),M8(t=2),M8(t=3),M8(t=4),M8(t=5),M8(t=6),M8(t=7),M8(t=8),M8(t=9),M8(t=10),M8(t=11),M8(t=12),M8(t=13),M8(t=14),M8(t=15),M8(t=16),M8(t=17),M8(t=18),M9(t=0),M9(t=1),M9(t=2),M9(t=3),M9(t=4),M9(t=5),M9(t=6),M9(t=7),M9(t=8),M9(t=9),M9(t=10),M9(t=11),M9(t=12),M9(t=13),M9(t=14),M9(t=15),M9(t=16),M9(t=17),M9(t=18)
10,measures,control,public,psychological,priorities,valley,consult,deadline,amsterdam,highlights,clinically,influenza,improvement,simple,march,week,outbreak,announced,british,iran,february,ship,crew,azerbaijan,curfews,teleconference,harm,pork,ipc,internally,internally,eventually,villages,approximately,measures,city,china,fish,remain,state,authorities,place,face,obligatory,cafés,aboard,maldives,exemptions,selling,obliged,curbing,curbing,directives,ankara,states,security,security,mask,check,vehicles,indoor,golf,separately,golf,croatia,public,measures,operations,duration,stricter,protest,tennis,conflict,hosting,committed,uruguay,disease,test,university,published,virus,world,working,authorization,consulate,assay,questionnaire,czechia,taipei,voyage,rumors,consultations,control,coughing,sus,products,companies,products,safety,safety,hospital,originated,heilongjiang,palestine,osaka,throat,brings,shelter,eating,supplied,considered,relation,branch,describes,scheduled,february,china,asian,memo,spring,exams,abide,attractions,roads,malls,gradual,workers,prisons,warnings,nighttime,campaigns,approach,announcement,part,virus,prevent,media,issued,affairs,tourism,effective,emergency,disease,based,found,testing,time,previously,standards,places,measure,flights,february,contact,reported,nearby,separately,expire,reconsider,notes,phases,jama,helps,displaced,mitigating,classification,highlights,staffed,iceland,clothes,febraury,long,term,school,contractors,noon,offenders,web,direction,weekends,malaysian,airasia,airasia,airasia,days,fort,discussions,eating,acquired,diabetes
11,control,cdc,transmission,preparedness,referral,frontier,consists,cuban,cruz,dominican,rumours,highlights,presenting,shelters,state,march,march,emergency,fast,nationals,kong,crew,shanghai,tour,shipments,harm,matters,abuja,waters,spending,cured,criteria,started,water,outbreak,china,live,febraury,state,government,spread,announced,bid,patrols,yokohama,maldives,permit,thai,music,automatically,lock,venezuela,vessels,observe,travel,services,services,service,russian,wearing,distance,brussels,dangerous,activate,cap,workers,security,means,stores,abuja,greek,rumours,imposition,honduras,shipments,argentina,test,sars,clinical,working,nations,made,administration,original,president,jinping,enforcing,consulate,macao,taipei,categories,refrain,nigeria,contact,medical,companies,products,supplies,small,pandemic,working,hospital,classification,makes,reason,strategic,medium,supplied,adequate,visitor,half,kuala,kuala,nearest,cancelled,held,president,trump,organizers,restart,fans,presidential,presidential,curfews,roadblocks,addressed,shipping,caused,addressed,circulated,manitoba,melbourne,announce,virus,fight,affairs,affairs,germany,hotline,including,united,participating,march,influenza,patient,tests,phase,symptom,health,disease,passenger,days,positive,authorities,city,downtown,sierra,profit,downtown,statewide,increasingly,activation,reflects,fragile,marathon,adverse,conflict,pick,safeguard,transiting,challenging,home,quebec,distancing,montreal,nighttime,hair,relatives,web,weddings,malawi,dock,piedmont,quarantine,nightclubs,swiftly,approvals,sized,reuse,receptor
12,risk,care,healthcare,prevention,fear,leisure,heilongjiang,heathrow,albania,tel,invited,invited,hosted,spread,measures,preventive,people,investigations,reagents,countries,japan,cruise,airways,sharp,turkish,poultry,concerts,meets,cargill,displaced,childcare,smartphone,households,thursday,due,public,designated,serbia,place,place,restrictions,essential,distancing,holidays,suit,venice,accredited,journeys,drafted,residing,hair,walking,stricter,docked,entry,countries,period,moscow,wearing,checks,journeys,slated,indoor,ministerial,navy,government,violence,institutions,pharmacies,arrested,abuja,electricity,vary,iom,meat,meat,published,published,disease,medical,africa,called,increase,fresh,ceremony,enrolled,usa,mauritius,royal,piedmont,nam,applicable,counties,coronavirus,driver,workers,personal,personal,protective,stage,conducted,died,diagnosis,voted,deadly,voted,throat,worry,wildlife,employee,shelter,taiwanese,adjust,sailors,world,week,events,president,catholic,grow,offenders,sanitiser,golf,fitr,museums,beaches,unemployment,sections,task,colleagues,deeply,work,social,fight,media,part,virus,statement,countries,decided,covid,disease,commence,patient,begin,symptoms,fail,wuhan,umrah,work,health,orders,patients,february,suspected,designated,abuja,music,describe,memo,rely,describes,picture,shipped,classification,polymerase,overwhelming,safeguard,anvisa,postponement,clothes,province,distancing,premier,correctional,learning,orange,direction,junior,stating,bakeries,journeys,denmark,liechtenstein,fort,wishing,counties,vast,cards,proposal
13,support,pandemic,risk,responding,rumors,alongside,libya,shortened,heathrow,rumours,japanese,isolating,context,criticism,taking,uganda,combat,news,news,hong,south,iran,apply,roche,nightly,looked,meets,waters,displaced,rapidly,improve,specimens,duty,time,part,president,places,ramadan,covid,covid,essential,restrictions,week,stores,nam,emilia,residing,residing,automatically,residency,domestically,governors,fishing,são,tourism,emergency,emergency,protective,surgical,russian,command,transiting,skills,skills,reiterated,sectors,operations,time,social,beaches,foot,gaza,uganda,entities,complaints,iom,sars,disease,researchers,caused,including,part,emergency,modified,mozambique,carnival,mauritius,norway,estonia,gyeongsang,outings,institutional,consultations,numbers,cuban,personal,workers,workers,support,including,investigate,sick,gave,parliamentary,paris,evaluating,secure,brings,thousand,prepares,nursing,croatia,croatia,walk,held,events,meeting,music,concerts,pyongyang,sanitiser,lufthansa,sanctioned,salons,beaches,recreational,consumers,worker,establishment,build,initiatives,expedite,virus,media,doctors,virus,germany,countries,brought,citizens,saudi,texas,majority,tests,testing,stage,percent,screened,related,hours,places,measure,testing,quarantine,people,daegu,museums,fitr,manitoba,staggered,recreation,onset,fragile,portion,reaction,taskforce,principles,sustained,heathrow,mauritius,transiting,social,long,term,quebec,contractors,employer,burial,istanbul,chengdu,relatives,holland,voyage,saharan,costa,minor,observing,figures,trained,proportion
14,disease,measures,published,actors,contingency,heading,limitations,clinically,seaports,japanese,extremely,cured,clusters,violence,preventive,outbreak,state,million,camp,foreign,quarantine,foreign,korea,delegations,earliest,karaoke,push,messaging,misinformation,waters,physicians,innovative,innovative,place,place,thursday,affecting,santiago,country,essential,closed,residents,april,headed,aboard,armenia,disembarking,associations,extending,permits,square,cinemas,algerian,residing,placing,workers,pandemic,surgical,checks,disinfection,delayed,exams,objectives,criminal,international,police,public,current,governorates,bakeries,nightly,organizing,transparent,rescue,sales,entities,treatment,university,sars,including,countries,president,phase,pharmaceuticals,nairobi,marshall,sar,taipei,emilia,transited,inform,staying,ministry,nigeria,ministry,provide,company,billion,businesses,found,virus,hospitalized,contracting,extends,patients,finished,contaminated,integrated,maintain,happen,sought,gilan,statistics,isolating,events,world,tokyo,organizers,grow,rigorous,pyongyang,marathon,easter,celebrations,karaoke,towns,working,deeply,sign,dozen,submitted,manitoba,term,efforts,health,iranian,february,media,government,legal,chinese,country,texas,early,early,percent,mild,aboard,visited,measure,quarantine,period,ministry,virus,days,taxi,aforementioned,recreational,servants,stages,scenarios,mechanisms,diabetes,thousand,barcelona,practical,activate,choose,figure,febraury,book,ontario,province,education,seniors,beauty,walking,ogun,beauty,servants,courts,nationalities,disembarked,costa,tunisia,curfew,respondents,fragile,society,art
15,community,disease,management,initiatives,describes,ankara,valley,dominican,armenia,amsterdam,discovery,targeting,activate,fans,law,attended,attended,pneumonia,people,japan,foreign,arrival,italy,exercise,aggressive,nato,music,mobilize,responses,ford,euros,finished,heilongjiang,public,day,country,individuals,dubai,time,time,country,minister,shutdown,metres,assay,exemptions,thai,frequently,cpc,selling,polish,polish,hair,block,network,pandemic,workers,wearing,thermal,check,checks,activate,freely,direction,territory,ongoing,include,work,road,stores,meals,club,hosting,electricity,fish,drafted,cov,cov,data,prevent,medical,response,workers,presence,injuries,cambodian,piedmont,spent,usa,applicable,caribbean,cuba,screening,reference,regime,crisis,funding,kits,additional,patients,phase,rate,assigned,passed,turned,jama,spokeswoman,housing,excess,web,visitor,street,nam,enters,epidemic,concerns,week,scheduled,pyongyang,hokkaido,marathon,pyongyang,organizing,violation,leisure,gathered,version,respirators,fallout,fragile,preparations,evolving,chancellor,statement,statement,doctors,statement,including,cooperation,countries,outbreak,commence,emergency,drugmaker,test,respiratory,wuhan,california,islands,public,including,travel,contact,infected,patients,tested,liberia,foot,qantas,nova,brunswick,prevalence,finished,transparency,count,internationally,incidence,importing,window,marathon,marathon,work,homes,montreal,ontario,ogun,roads,noon,nairobi,austrian,journeys,guatemalan,slovenia,cayman,brazilians,taxis,pakistani,discussions,usda,fiocruz
16,services,community,disease,countries,war,barriers,istanbul,nightly,rumors,fears,definition,seconds,seconds,map,investigations,investigations,investigations,map,states,kong,enter,apply,ship,easter,neighborhoods,grants,mrna,imf,villages,villages,mauritius,chloroquine,recover,international,health,tourists,ministry,side,essential,local,covid,march,prime,groceries,lungs,permit,buses,bio,fish,curbing,fish,sierra,expire,trenton,ports,coronavirus,quarantine,prevent,distance,metro,maryland,comments,opportunity,croatia,criminal,required,including,additional,flexibility,earliest,earliest,conflict,spectators,activate,drafted,shincheonji,data,data,chinese,world,fight,including,work,biorxiv,enforcing,studying,cruises,royal,route,bahrain,staying,minimise,inhabitants,designated,covered,funding,crisis,world,equipment,approved,specialized,treatment,hospitals,definition,admitted,capitals,strategic,operators,employers,care,defined,web,sailors,daegu,announced,chinese,event,agreed,soccer,postponement,cancellation,offenders,amman,ramadan,towns,property,injuries,task,consumers,expedite,fragile,term,extremely,order,efforts,health,efforts,affairs,decided,issued,tel,pandemic,england,england,infection,weeks,symptoms,guam,people,end,period,banned,case,patients,case,anvisa,bakeries,nurseries,strengthened,elementary,fit,consulate,transparency,describe,elevated,activation,coordinator,definition,pubs,dealing,iceland,public,covid,officer,scotia,roads,tough,church,expired,liechtenstein,airasia,yokohama,kyrgyzstan,small,rica,operate,genomic,approvals,diagnose,discussions
17,cdc,transmission,cdc,phe,threats,museum,rumors,classified,match,francisco,kazakhstan,newly,relations,marathon,camp,law,cabinet,national,map,citizens,countries,flight,emirates,pilgrims,saturdays,mrna,wfp,ihr,categories,abundance,proposal,appeared,modified,technology,government,affected,tourists,maritime,local,curfew,gatherings,allowed,border,oman,disembarking,applies,indoor,tel,protests,accredited,residency,domestically,lithuania,fish,days,current,risk,check,cleaning,sanitation,music,tournament,curve,crises,travellers,directive,time,security,abuja,governorates,urban,countrywide,rent,unemployment,refugees,violators,university,treatment,national,outbreak,work,fast,additional,ritonavir,medrxiv,westerdam,hong,cruises,yokohama,rep,necessity,epicenter,reference,performed,reference,economic,provide,funding,work,time,greater,track,tests,lowest,kcdc,xi,diagnose,balance,owned,consists,institution,farms,demanded,nam,postponed,meeting,league,hokkaido,organised,cancelling,fair,cancellation,sit,roadblocks,bakeries,unemployment,support,bill,discuss,ability,nighttime,announcement,daycare,epidemic,affairs,efforts,including,hotline,statement,china,suspended,commonwealth,pandemic,research,stage,hospital,previously,standards,end,restrictions,orders,ukraine,reported,reported,wuhan,qom,nightclubs,disembarked,montreal,marks,unclear,unique,sequencing,financing,picture,investigated,importing,licensed,excess,salvador,firm,students,minister,province,calgary,sierra,settlements,offenders,foot,recreational,worshippers,excluding,cambodian,transport,taxis,villages,extends,diabetes,portable,rumours
18,transmission,national,surveillance,strengthen,adapted,nightly,nightly,staffed,clinically,respecting,coping,protocol,promoting,uganda,order,media,pneumonia,group,completed,enter,ship,february,princess,istanbul,istanbul,cargill,committed,concerts,mauritius,sit,li,surfaces,specimens,city,include,international,international,barred,emergency,extended,local,distancing,forces,august,romagna,nationality,km,guatemalan,delta,indoor,stricter,banks,weddings,neighborhoods,prior,state,people,daily,disinfected,forces,heightened,waters,transiting,mining,workplaces,plan,international,covid,chains,worshippers,ogun,initiated,shipments,slowed,imposition,shipments,tests,trials,cov,data,global,work,response,mrna,drugmaker,macao,vessel,questionnaire,airways,royal,diplomats,refer,register,mission,assured,company,global,global,economy,work,rate,catching,died,kcdc,genome,admitted,jama,adequate,consists,nhs,excess,traveler,tropical,farms,international,event,year,meetings,fans,seconds,cancellations,fair,attorney,ft,eid,implement,includes,combat,bureau,reserves,addis,taking,testing,including,epidemic,statement,part,minister,germany,spread,europe,called,secondary,contribute,symptoms,additional,calgary,advises,weeks,addition,flights,suspended,authorities,case,negative,cases,foot,maintained,entities,fit,receptor,azithromycin,describes,raises,polymerase,sample,anvisa,conflict,prince,seniors,servants,term,home,physical,digital,walking,meals,reportedly,nighttime,catching,istanbul,malawi,stating,brazilians,suspensions,counties,nightclubs,swiftly,proposed,oral
19,national,preparedness,systems,transmission,stakeholders,layer,checked,brussels,respecting,clinically,highlight,participating,invited,pediatric,part,belarus,dubai,minister,group,allowed,apply,airline,february,slovakia,roche,alliance,alliance,curbing,commitment,statistics,add,assay,shortly,authorities,country,period,period,individuals,extended,spread,allowed,authorities,masks,spectators,advisories,romagna,yokohama,km,residing,mongolia,license,pakistani,hairdressers,genomic,undergo,measures,authorities,stations,protective,water,declaring,crises,activate,slovakia,home,homes,sectors,similar,emergency,violence,worshippers,honduras,entities,written,iom,hosting,trial,trial,trials,fast,covid,africa,cure,sampling,immunity,piedmont,shares,sar,passport,conjunction,pan,attending,carry,roads,rio,global,industry,including,development,medication,single,investigate,palestine,weak,treatment,treat,submitted,exchange,visitor,eating,covid,pending,cancellations,confirms,spread,tokyo,world,events,postpone,keeping,attractions,mark,concerts,presidential,meters,fitr,safety,online,circulated,fears,announce,testing,contained,set,iranian,china,iranian,efforts,spread,dubai,ongoing,friday,stages,final,risk,hours,patients,iata,including,weeks,leave,stay,infected,city,february,history,miles,memo,ages,childcare,cruz,antibiotic,sus,supportive,environments,environments,relating,heathrow,romagna,scotia,slovakia,distancing,social,centres,canada,foot,respect,orange,burial,direction,salons,danish,manila,curfew,convalescent,sporting,theatres,transparent,semester,prices
